target,predictor,raw_name,canonical_name,unit,relationship_category,mathematical_or_clinical_rationale,strict_panel_inclusion,pragmatic_panel_inclusion,strict_target_included,pragmatic_target_included,source_evidence,review_status
lvef,lvef,lvef,lvef,UNKNOWN,DIRECT_TARGET,Predictor canonical name equals the target canonical name.,False,False,False,False,SCHEMA_IDENTITY,CONFIRMED_SCHEMA_IDENTITY
lvef,fs,fs,fs,UNKNOWN,NEAR_DETERMINISTIC_CLINICAL_DERIVATIVE,LVEF is mathematically determined by paired LV volumes; fractional shortening and paired LV dimensions are strong method-dependent systolic-function derivatives/proxies.,False,False,False,False,STANDARD_LV_SYSTOLIC_FORMULAS_PENDING_CLINICAL_CITATION,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,tr_mmhg,tr_mmhg,tr_mmhg,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,tricuspid_regurgitant_peak_velocity,tricuspid_regurgitant_peak_velocity,tricuspid_regurgitant_peak_velocity,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,left_ventricular_end_systolic_diameter,left_ventricular_end_systolic_diameter,left_ventricular_end_systolic_diameter,UNKNOWN,NEAR_DETERMINISTIC_CLINICAL_DERIVATIVE,LVEF is mathematically determined by paired LV volumes; fractional shortening and paired LV dimensions are strong method-dependent systolic-function derivatives/proxies.,False,False,False,False,STANDARD_LV_SYSTOLIC_FORMULAS_PENDING_CLINICAL_CITATION,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,left_ventricular_end_diastolic_diameter,left_ventricular_end_diastolic_diameter,left_ventricular_end_diastolic_diameter,UNKNOWN,NEAR_DETERMINISTIC_CLINICAL_DERIVATIVE,LVEF is mathematically determined by paired LV volumes; fractional shortening and paired LV dimensions are strong method-dependent systolic-function derivatives/proxies.,False,False,False,False,STANDARD_LV_SYSTOLIC_FORMULAS_PENDING_CLINICAL_CITATION,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,body_surface_area,body_surface_area,body_surface_area,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,height_cm,height_cm,height_cm,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,av_pk_vel,av_pk_vel,av_pk_vel,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,sept_e_prime,sept_e_prime,sept_e_prime,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,la_4ch_length,la_4ch_length,la_4ch_length,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
lvef,ra_length,ra_length,ra_length,UNKNOWN,UNCERTAIN_REQUIRES_CLINICAL_REVIEW,No relationship has been adjudicated from authoritative raw metadata and clinical evidence.,False,False,False,False,PENDING_OPENEVIDENCE_AND_CLINICAL_REVIEW,PROVISIONAL_PENDING_CLINICAL_REVIEW
